Bill_id,Bill_description,Patron_id,Patron_name
HB40,"Plastic firearms or receivers, etc., transfer, etc., prohibited; penalties.",H0264,Simon
HB41,Elections; procedures for removal of electoral board members and general registrars.,H0264,Simon
HB42,Posting of building permit; identification of mechanics' lien agent.,H0264,Simon
HB43,"Suicide; abolishes common-law crime, delayed effective date, report.",H0264,Simon
HB44,"Elections; campaign finance disclosure reports, searchable electronic database.",H0281,Krizek
HB45,"Fees to hunt, fish, and trap; free or partially discounted, reimbursement.",H0259,Fowler
HB46,Judges; maximum number in each judicial circuit.,H0301,Reid
HB47,"Income tax, state; subtractions, uniformed services and foreign service retirement benefits.",H0301,Reid
HB48,Suicide prevention; VDH to convene work group to develop plan to reduce among at-risk populations.,H0301,Reid
HB49,"Pari-mutuel wagering; historical horse racing, percentage retained for distribution.",H0301,Reid
HB50,VHSL; feasibility of adding cricket as a sanctioned sport in Planning District 8.,H0301,Reid
HB51,Elections; time of certain local elections.,H0267,Bloxom
HB52,Marine Resources Commission; beneficial use of dredged material.,H0267,Bloxom
HB53,"Student bullying; adjusts definition, characteristics of victim.",H0314,"Cole, J.G."
HB54,State Government Internship Coordinator; DHRM to establish and employ.,H0269,Sullivan
HB55,"Noise abatement monitoring systems; local authorities to place and operate, civil penalties.",H0269,Sullivan
HB56,"Virginia Military Survivors and Dependents Education Program; tuition and fee waivers, eligibility.",H0360,Feggans
HB57,"Vehicles designed and used for transportation of passengers; fees, funds returned to a locality.",H0360,Feggans
HB58,"Virginia Board for Asbestos, Lead, and Home Inspectors; renamed, radon measurement, etc.",H0281,Krizek
HB59,"Reapportionment; reallocation of populations, population data, civil commitment facilities.",H0124,Ware
HB60,"Life or health insurances; unfair discrimination, pre-exposure prophylaxis for prevention of HIV.",H0173,Ward
HB61,"Small SWaM Business Procurement Enhancement Program; established, report.",H0173,Ward
HB62,"Tazewell, Town of; amending charter, residency requirement for town manager.",H0224,Morefield
HB63,Southwest Reg. Recreation Authority; certification of Southwest Regional Recreation Area rangers.,H0224,Morefield
HB64,Health insurance; coverage for speech therapy as a treatment for stuttering.,H0314,"Cole, J.G."
HB65,"Apple Board; repealing Board and Apple Fund effective July 1, 2028, delayed effective date, report.",H0317,Helmer
HB66,Federal benefit programs; DMAS & DSS shall study technology systems used to administer.,H0360,Feggans
HB67,"Offshore Wind Industry Workforce Program and Fund; established, report, sunset.",H0360,Feggans
HB68,"Real property; effect on rate when assessment results in tax increase, consideration of inflation.",H0308,McNamara
HB69,"Retail franchise agreements; governing law, competition restrictions.",H0317,Helmer
HB70,"Resilient Virginia Revolving Fund; projects in low-income geographic areas, nature-based solutions.",H0360,Feggans
HB71,"Absentee voting in person; voter satellite offices, days and hours of operation.",H0380,Reaser
HB72,Real property tax; classification of land and improvements in City of Fredericksburg.,H0314,"Cole, J.G."
HB73,Juvenile and domestic relations district courts; petitions for relief of care and custody.,H0314,"Cole, J.G."
HB74,Electric utilities; recovery of development costs associated with small modular reactor.,H0370,Keys-Gamarra
HB75,Medical marijuana; administration to terminally ill patients.,H0370,Keys-Gamarra
HB76,Foster care; DSS to establish/maintain supply of new luggage to transport child's belongings.,H0370,Keys-Gamarra
HB77,"Law-enforcement officers, state and local; enforcement of federal traffic infractions.",H0281,Krizek
HB78,"Elections administration; duties of local electoral boards, certification of election, etc.",H0284,Price
HB79,"Virginia Residential Landlord and Tenant Act; duties of landlord, mold remediation, civil penalty.",H0284,Price
HB80,Civilian deaths in custody; local and regional adult correctional facilities failure to report.,H0284,Price
HB81,State agencies; amdnt. of regulations pertaining to maximum temp. at which certain rooms may be kept.,H0284,Price
HB82,"Elections; deadline for receipt of absentee ballots and certain other information, etc.",H0375,McClure
HB83,Virginia Information Technologies Agency; powers of the CIO; creation of Cyber Civilian Corps.,H0360,Feggans
HB84,Electric utilities and licensed suppliers of electricity; regional transmission entities.,H0371,Laufer
HB85,Va.-specific postsecondary transition counselor certificate program; development and establishment.,H0371,Laufer
HB86,"Mattress Stewardship Program; established, definitions, report.",H0371,Laufer
HB87,"State plan for med. assistance; patient-initiated consultation, provider-to-provider consultation.",H0371,Laufer
HB88,Highway rights-of-way; invasive species.,H0371,Laufer
HB89,"Candidates for office; electronic filing of forms, petitions, etc., with Department of Elections.",H0314,"Cole, J.G."
HB90,Health insurance; coverage for scalp treatment during cancer chemotherapy treatment.,H0351,Seibold
HB91,"Minors; limiting room or cell confinement in a juvenile correctional facility, report.",H0351,Seibold
HB92,"Public schools; At-Risk Program established, Standards of Quality.",H0266,Rasoul
HB93,Firearms; transfers to another person from a prohibited person.,H0334,Bennett-Parker
HB94,Vehicle registration fees; disabled veterans.,H0334,Bennett-Parker
HB95,"Va. Residential Landlord and Tenant Act; landlord remedies, noncompliance with rental agreement.",H0334,Bennett-Parker
HB96,School breakfast; availability at no cost to students.,H0334,Bennett-Parker
HB97,Precious metals dealers; permit requirements.,H0333,Ballard
HB98,"Glen Lyn, Town of; repealing charter.",H0333,Ballard
HB99,Felony eluding; mandatory minimum term in correctional facility.,H0333,Ballard
HB100,Payment or delivery of small asset by affidavit; Office of the Executive Secretary to prepare form.,H0333,Ballard
HB101,Concealed handguns; alternate methods of submission of applications for permits.,H0333,Ballard
HB102,Voluntary manslaughter; increases penalty.,H0333,Ballard
HB103,Early Intervention Program for Infants and Toddlers with Disabilities; program extension.,H0333,Ballard
HB104,Virginia Historic Landmarks Register; bicentennial farms.,H0333,Ballard
HB105,Bicentennial farm program; State Forester to establish and administer.,H0333,Ballard
HB106,Concealed handgun permit; lowers fee for processing an application.,H0333,Ballard
HB107,Underinsured motorist benefits; actions against released defendant.,H0333,Ballard
HB108,Honor Guard Grant Program; Department of Veterans Services to establish.,H0333,Ballard
HB109,"Noxious weeds; amends definition, commercial viability, phase-out period, report.",H0351,Seibold
HB110,"Handguns in unattended motor vehicle; definitions, penalty.",H0371,Laufer
HB111,"Voter registration; cancellation of registration, sources of data.",H0371,Laufer
HB112,"Mammalian wildlife; separation and hybridization prohibited, exceptions.",H0371,Laufer
HB113,"Elections; soliciting or accepting bribe to influence or procure voter registration, penalty.",H0317,Helmer
HB114,"Electric utility infrastructure; Dept. of Energy and SCC to conduct an analysis, report.",H0124,Ware
HB115,"Waste to Energy Grant Program; established, report.",H0173,Ward
HB116,School board employee grievance procedure; timing of dispute resolution.,H0173,Ward
HB117,"Youth, Virginia Commission on; nonlegislative citizen member, person younger than 18 years of age.",H0351,Seibold
HB118,Discovery materials or evidence; accused may request to copy or photograph any materials.,H0370,Keys-Gamarra
HB119,Uniform Statewide Building Code; stakeholder group to evaluate temperature regulation.,H0370,Keys-Gamarra
HB120,"Public Utility Ombudsman, Office of the; established, delayed effective date.",H0370,Keys-Gamarra
HB121,"Surveillance pricing; prohibited, civil penalties.",H0370,Keys-Gamarra
HB122,Cosmetic products; manufacturing or sale with certain ingredients prohibited.,H0370,Keys-Gamarra
HB123,"Delinquent children; loss of driving privileges for alcohol, firearm, and drug offenses, truancy.",H0380,Reaser
HB124,"Assault and battery; adds district court temporary recall judge, penalty.",H0380,Reaser
HB125,Public school teachers; reemployment of teacher who has not received continuing contract status.,H0380,Reaser
HB126,"Local, regional, and community correctional facilities; access to counsel for inmates.",H0354,Callsen
HB127,"Person not free on bail; court appearance, right to counsel.",H0354,Callsen
HB128,Ancillary traffic infractions; certification.,H0354,Callsen
HB129,Deer; permit may be issued to kill if damaging residential plants and certain property.,H0390,Cornett
HB130,"Workers' compensation; presumption of certain cancers, sheriffs and deputy sheriffs.",H0390,Cornett
HB131,"Higher educational institutions, public; reasonable accommodations for religious beliefs, etc.",H0264,Simon
HB132,"Graduation with an advanced studies diploma; requirements, complet. of Int'l Baccalaureate diploma.",H0264,Simon
HB133,Electronic execution of estate planning documents; codifies Uniform Electronic Wills Act.,H0264,Simon
HB134,Virginia Conservation Easement Act; definition of federally recognized tribe.,H0264,Simon
HB135,"Virginia Code Commission; extends subdivision plats work group, report.",H0264,Simon
HB136,"Sickle cell disease; feasibility of Medicaid benefit and Medicaid Health Homes, report.",H0301,Reid
HB137,"Income tax, state; increases current cap of military benefits that may be subtracted.",H0360,Feggans
HB138,Public high schools; career coach required.,H0323,Simonds
HB139,School board policies; unpaid educational leave for certain employee association officers.,H0323,Simonds
HB140,"Federally Recognized Tribes, Commission on; purpose, powers, sunset extended.",H0281,Krizek
HB141,Virginia Passenger Rail Authority; certain exemptions.,H0301,Reid
HB142,"Access to Housing Task Force; established, report.",H0361,Gardner
HB143,Surplus real property; prioritization of disposition for affordable and middle-income housing.,H0361,Gardner
HB144,"Waverly, Town of; amending charter, transitioning town government.",H0347,Wachsmann
HB145,"Fantasy contests; regulation and taxation, civil penalty, repeals Fantasy Contests Act.",H0281,Krizek
HB146,"Health Care Learning Lab and Regulatory Improvement Program; established, report, sunset.",H0348,Williams
HB147,U.S. Route 58 Corridor Development Program; issuance of bonds.,H0348,Williams
HB148,"Children; seizure, etc., of property used in connection with exploitation and solicitation.",H0348,Williams
HB149,Probation; decreasing period.,H0348,Williams
HB150,Felonies; limitation on prosecution due to lapse of time after finding of probable cause.,H0348,Williams
HB151,Food service permits; out-of-state caterers.,H0348,Williams
HB152,Little bluestem (Schizachyrium scoparium); designating as the official state grass.,H0351,Seibold
HB153,"Data centers; site assessment, sound profile of the high energy use facility.",H0382,Thomas
HB154,"Data centers; use of emergency generation unit, disclosure requirements.",H0382,Thomas
HB155,Electric utilities; certificate of operation for high-load facilities.,H0382,Thomas
HB156,Electronic death reg. system; requiring certain applicants for licensure to complete training.,H0281,Krizek
HB157,Real Estate Board; an applicant for new real estate license to certify criminal history info.,H0351,Seibold
HB158,Abuse or neglect of a child; transition of a child to sex or gender other than biological sex.,H0364,Griffin
HB159,"Va. Freedom of Information Act; proceedings for enforcement, petition for mandamus or injunction.",H0264,Simon
HB160,"FOIA; officers, employees, or members of a public body, alleged willful and knowing violations.",H0264,Simon
HB161,"Virginia Lottery; internet gaming authorized, definitions, penalties, effective clause.",H0264,Simon
HB162,Public campaign financing; counties and cities may establish for certain offices.,H0264,Simon
HB163,"Notarization, filing, & recordation of certain land records; duties of notary or settlement agent.",H0264,Simon
HB164,Housing for local employees; grants for homeownership.,H0382,Thomas
HB165,"Contractors, Board for; examinations available in alternative languages.",H0382,Thomas
HB166,"Noise ordinances; removes exemption for industrial property, civil penalties.",H0382,Thomas
HB167,Tax exemptions; Confederacy organizations.,H0311,Askew
HB168,Election of certain governing bodies; conversion to single-member districts.,H0311,Askew
HB169,"Emergency management; work group to evaluate existing needs in the Commonwealth, report.",H0311,Askew
HB170,"Real estate appraisers; ed. requirements for licensure, fair housing and appraisal bias course.",H0311,Askew
HB171,"Student instruction; Internet safety, policy to include key modern digital safety topics.",H0311,Askew
HB172,"Criminal cases; request for a jury to ascertain range of punishment, etc.",H0396,Mehta
HB173,"State correctional facilities; visitation policies, annual report.",H0353,Anthony
HB174,Va. Residential Landlord & Tenant Act; early termination of rental agreement by military personnel.,H0360,Feggans
HB175,"Real property; tax exemption, surviving spouses of members of Armed Forces who died in line of duty.",H0360,Feggans
HB176,State-facilitated IRA savings program; various changes to the program.,H0227,Torian
HB177,Fee for passing bad checks to localities; payment order not paid by recipient.,H0353,Anthony
HB178,Certified student support agencies; DOE to assess impact of developing program for students.,H0353,Anthony
HB179,"Virginia Fleet Modernization Advisory Council; established, report, sunset.",H0353,Anthony
HB180,"Work-Based Learning Coordinator Pilot Program; established, report, sunset.",H0353,Anthony
HB181,Affordable dwelling unit program; adds Roanoke City to list of localities with authority to provide.,H0266,Rasoul
HB182,High school graduation requirements; history and social studies credits.,H0301,Reid
HB183,"First-time home buyer savings plan; townhouses, principal limits.",H0301,Reid
HB184,"All-Payer Claims Database; Virginia Department of Health shall conduct an evaluation, report.",H0317,Helmer
HB185,Orders closing a proceeding; petitions for review.,H0396,Mehta
HB186,"Estheticians; permanent make-up specialty insurance, licensure by endorsement.",H0348,Williams
HB187,"Virginia Beach, City of; amending charter, transition to a city council, voting districts.",H0295,Convirs-Fowler
HB188,"Income tax, state; establishes a new income tax bracket beginning in taxable year 2026.",H0295,Convirs-Fowler
HB189,"Certain student assessment requirements; calculation of final course grade, effective clause.",H0295,Convirs-Fowler
HB190,"Electronic fund transfers; Office of AG shall convene work group to review fraudulent activity, etc.",H0295,Convirs-Fowler
HB191,Victims of sex trafficking; immunity for minors to arrest or prosecution for prostitution.,H0295,Convirs-Fowler
HB192,General district courts; jurisdictional limits relating to motor vehicle accidents.,H0295,Convirs-Fowler
HB193,Parole; exception to limitation on the application of parole statutes.,H0207,McQuinn
HB194,Judges; maximum number of judges in each judicial district.,H0207,McQuinn
HB195,Programs for at-risk students; permissible uses of funding.,H0207,McQuinn
HB196,"Mixed-income housing; creating a two-year pilot program that provides loan origination, etc.",H0382,Thomas
HB197,"Zoning appeals, board of; appellate jurisdiction upon appeal from the circuit court.",H0382,Thomas
HB198,"Local government; review of decision by board of zoning appeals, procedures for filing petition.",H0382,Thomas
HB199,Standards of Learning assessments; through-year growth assessment system eliminated.,H0266,Rasoul
HB200,"Transit Entities, certain; funding and administration.",H0207,McQuinn
HB201,School boards; safe storage of prescription drugs and firearms in the household.,H0355,Cohen
HB202,"Single-family-homes; prohibited acquisition, civil penalty.",H0364,Griffin
HB203,"Middle Eastern and North African Advisory Board; established, sunset.",H0380,Reaser
HB204,Virginia Law Officers' Retirement System; extends membership to emergency dispatchers.,H0335,Cherry
HB205,"Va. Retirement System; enhanced retirement benefits for 911 dispatchers, delayed effective date.",H0335,Cherry
HB206,College partnership laboratory schools; transparency.,H0370,Keys-Gamarra
HB207,Retail Sales and Use Tax; imposes firearm suppressor tax.,H0370,Keys-Gamarra
HB208,Anti-harassment orders; creates a procedure for issuing an order.,H0348,Williams
HB209,Peer recovery specialists; VDH & DOC to develop guidelines for hiring.,H0284,Price
HB210,School meal debt; each school board to annually report.,H0284,Price
HB211,"Head start, etc.; Head Start State Collaboration Office to develop for endorsement a report, etc.",H0361,Gardner
HB212,"Election offenses; intimidation and threats toward election officials, penalty.",H0361,Gardner
HB213,Uniform Military and Overseas Voters Act; restrictions on ballot eligibility.,H0360,Feggans
HB214,Home Flood Protection Assistance Program; enables a locality to establish by ordinance.,H0360,Feggans
HB215,"Voter registration; list maintenance, third-party data exchanges approved by State Bd. of Elections.",H0365,Henson
HB216,"Health insurance; coverage for prosthetic and custom orthotic devices and components, reports.",H0317,Helmer
HB217,"Assault firearms & certain ammunition feeding devices; purchase, sale, etc., prohibited, penalties.",H0317,Helmer
HB218,Casino gaming; consideration of service permit application.,H0207,McQuinn
HB219,Kei vehicles; operation and requirements.,H0360,Feggans
HB220,Health insurance; tobacco surcharge.,H0219,Hope
HB221,"Appeals bond; indigent parties, appeal of unlawful detainer.",H0219,Hope
HB222,Public pools; regulations.,H0219,Hope
HB223,Public defender; local funding for positions.,H0219,Hope
HB224,Paternity; proceedings to establish.,H0219,Hope
HB225,Marcus Alert Evaluation Task Force; created.,H0219,Hope
HB226,County manager plan of government; independent policing auditor.,H0219,Hope
HB227,Line of Duty Act; transitional coverage.,H0390,Cornett
HB228,"Accountancy, Board of; licensing requirements, inactive and emeritus status.",H0308,McNamara
HB229,Weapons; possession prohibited in hospital that provides mental health or developmental services.,H0366,Hernandez
HB230,"Motor vehicles; use of safety belt systems, certain emergency medical services personnel exempted.",H0207,McQuinn
HB231,"Autism Advisory Council; name change, membership, staffing, powers and duties.",H0355,Cohen
HB232,"Collaborative agreements; removes registered nurses from list of practitioners, etc.",H0347,Wachsmann
HB233,"Motor vehicles; use of safety belt systems, exempts certain emergency medical services personnel.",H0347,Wachsmann
HB234,"Elections; general provisions, electoral board members to wear identification, civil penalty.",H0399,Pope Adams
HB235,"Elections; districts, precincts, and polling places, pilot program for super precincts.",H0361,Gardner
HB236,"Local, regional, and school library material; establishment of model policies.",H0361,Gardner
HB237,Va. Coastal Resilience Master Plan; identifying areas where marshes may migrate in face of sea rise.,H0239,Lopez
HB238,"Minimum wage and overtime wages; payment, of wages, misclassification of workers, civil actions.",H0239,Lopez
HB239,Loudoun County; DCR to accept property to establish a state park.,H0239,Lopez
HB240,"Admission to bail; fixing terms of bail, mental health considerations.",H0361,Gardner
HB241,"License plates; only rear plate required, exception.",H0314,"Cole, J.G."
HB242,Public utilities; budget plan payment increases.,H0314,"Cole, J.G."
HB243,Corporate welfare tax; imposes on large employers a tax equal to 100% of qualified employee benefit.,H0314,"Cole, J.G."
HB244,Robbery; conforms certain provisions of Code to degrees of robbery offenses.,H0108,Watts
HB245,"Jurisdiction of district courts in felony cases; specialty dockets, Behavioral Health Docket Act.",H0108,Watts
HB246,"Mental illness, neurocognitive disorder, etc.; affirmative defense or reduced penalty.",H0108,Watts
HB247,"Deferred dispos. in criminal case; persons with autism, intellectual, or developmental disabilities.",H0108,Watts
HB248,Interjurisdictional law-enforcement agreements; development of behavioral health co-response teams.,H0108,Watts
HB249,Marcus alert system; external database information removal.,H0108,Watts
HB250,"Sex offenses prohibiting proximity to children; Park Authorities Act, penalty.",H0108,Watts
HB251,Assault and battery; creates Class 6 felony for serious bodily injury.,H0108,Watts
HB252,Servient estate; establishes relocation or modification of easement by owner.,H0108,Watts
HB253,Interstate Teacher Mobility Compact; enters the Commonwealth into Compact.,H0349,Glass
HB254,Child Care Subsidy Program; income-based eligibility for assistance.,H0349,Glass
HB255,"School Psychologists, Interstate Compact for; enters the Commonwealth into Compact.",H0349,Glass
HB256,Comprehensive plan; environmental justice strategy.,H0323,Simonds
HB257,Comprehensive plan; social determinants of health.,H0323,Simonds
HB258,Early childhood care and education; updates terminology.,H0323,Simonds
HB259,"Home-Based Child Care Provider Start-Up Grants Pilot Program; established, sunset.",H0323,Simonds
HB260,Public service companies; prevailing wage rate for underground infrastructure work.,H0323,Simonds
HB261,Real property; tax classification of land and improvements in City of Newport News.,H0323,Simonds
HB262,Minimum parking requirements; prohibition on mandates by localities.,H0323,Simonds
HB263,Certified school library specialists; Superintendent of Public Instruction to employ in DOE.,H0323,Simonds
HB264,"School Construction and Modernization, Commission on; extends sunset date.",H0323,Simonds
HB265,"Students, certain; grants at public institutions of higher education, qualifications.",H0345,Tata
HB266,Child abuse and neglect; creates centralized intake and validity determination.,H0345,Tata
HB267,"Workers with disabilities; earned income disregard, cost-of-living adjustment.",H0345,Tata
HB268,"Fines and costs; period of limitations on collection, deferred payment agreement.",H0366,Hernandez
HB269,"Motorized mobility vehicles; established as a new class of vehicle, civil penalties.",H0301,Reid
HB270,State parks; access for veterans; free entry and discounted services.,H0136,Wright
HB271,"Gaming Commission; established, penalties, report.",H0281,Krizek
HB272,Film industry community zones; local designation.,H0325,Walker
HB273,"Law-enforcement officers; duty to render aid upon danger to life or limb, civil immunity.",H0317,Helmer
HB274,"Children; seizure, etc., of property used in connection with exploitation and solicitation.",H0325,Walker
HB275,Employment prohibition exceptions; apprenticeship program for children 16 years of age or older.,H0266,Rasoul
HB276,Virginia State Bar; rules and regulations relating to schedule of fees for members.,H0056,Kilgore
HB277,"Zoning; wireless facility modifications, application process.",H0351,Seibold
HB278,Local anti-rent gouging authority; civil penalty.,H0336,Clark
HB279,Teachers; timeline and process for increasing salaries to at least national average.,H0336,Clark
HB280,Comprehensive children's health care coverage program; DMAS Services to establish.,H0336,Clark
HB281,Va. Residential Landlord and Tenant Act; defense to action for possession for nonpayment of rent,H0354,Callsen
HB282,Real property tax; classification of land and improvement in Cities of Charlottesville/Falls Church.,H0354,Callsen
HB283,Child abuse or neglect; prenatal use of a controlled substance or drug as prescribed.,H0361,Gardner
HB284,"Electric utilities; electric demand flexibility programs, high energy demand customers, report.",H0360,Feggans
HB285,"Distributed Energy Resources Task Force; created, membership, reports, sunset.",H0317,Helmer
HB286,"Virginia National Guard; orders transmitted to and through Governor, annual reports.",H0317,Helmer
HB287,Higher ed. institution; eligibility for in-state tuition for citizens of fed. recognized Va. tribes.,H0323,Simonds
HB288,"Education, Department of; website posting of certain instructional resources.",H0386,Anderson
HB289,Electric utilities; small portable solar generation devices.,H0386,Anderson
HB290,False statements as to school division or attendance zone residency; penalty.,H0386,Anderson
HB291,Fishing tackle recycling and disposal; educational webpage.,H0386,Anderson
HB292,Agricultural and forestal districts advisory committee; membership.,H0386,Anderson
HB293,"Corporations; limited liability decentralized autonomous orgs. (LLDs), delayed effective date.",H0317,Helmer
HB294,Malicious bodily injury to correctional officers; penalties.,H0390,Cornett
HB295,"Aggravated murder; adds correctional officers to definition, punishment.",H0390,Cornett
HB296,"State correctional facilities; visitation policies, reports.",H0351,Seibold
HB297,"Assisted living facilities; resident referral agencies, required disclosures.",H0351,Seibold
HB298,Public elementary or secondary school students; evidence-based restorative disciplinary practices.,H0207,McQuinn
HB299,"SOL assessments and related assessment methods; development, administration, scoring, and release.",H0317,Helmer
HB300,"Expiration of cooperative agreements; period of oversight by VDH Commissioner, transfer of records.",H0219,Hope
HB301,Adult adoptees; access to vital records.,H0354,Callsen
HB302,ATVs and off-road motorcycles; operation in the Southwest Regional Recreation Authority.,H0224,Morefield
HB303,"Divorce; adultery, filing, parties living separate and apart, report.",H0269,Sullivan
HB304,Conventional home mortgage loans; assumption provisions.,H0269,Sullivan
HB305,Heart of Appalachia Tourism Authority; quorum.,H0224,Morefield
HB306,Wills and estates; claims to exempt property and allowances.,H0387,Carnegie
HB307,Administration of estates; claims against decedent or estate.,H0387,Carnegie
HB308,"Va. ABC Authority; permitting of retail tobacco product retailers, etc.",H0219,Hope
HB309,"Temporary detention in hospital; issuance of order for testing, observation, or treatment.",H0219,Hope
HB310,"Artificial Intelligence Workforce Impact Act; established, report.",H0360,Feggans
HB311,"Photo speed monitoring devices; summons by mail, certain information to be included.",H0347,Wachsmann
HB312,"Motor vehicles; glass repair and replacement, emissions inspections, penalties, repeals.",H0387,Carnegie
HB313,"Virginia FOIA; public records to be open to inspection, non-citizen property owners.",H0347,Wachsmann
HB314,Uniform Statewide Building Code; homeowners who live off grid.,H0347,Wachsmann
HB315,Removal of clutter; cutting of grass; agricultural use exemption; Planning District 19.,H0347,Wachsmann
HB316,Virginia Stock Corporation Act; changes to Act.,H0219,Hope
HB317,Damage or trespass to public services or utilities or critical infrastructure; penalties.,H0399,Pope Adams
HB318,"Virginia Parole Board; powers and duties, juvenile offenders, parole procedures and considerations.",H0219,Hope
HB319,"Back-end, opt-out automatic voter registration; work group to study implementation.",H0366,Hernandez
HB320,"Live streaming while driving; prohibited, penalty.",H0314,"Cole, J.G."
HB321,"Agricultural Workforce Mental Health and Suicide Prevention Program; established, report.",H0349,Glass
HB322,"Misbranded food; manufactured-protein food products, civil penalty.",H0349,Glass
HB323,"Data centers; Department of Energy shall lead efforts to accelerate use of waste heat, report.",H0269,Sullivan
HB324,Electric Vehicle Rural Infrastructure Program and Fund; established and created.,H0269,Sullivan
HB325,"Fire Programs, Department of; development of mental health awareness training.",H0269,Sullivan
HB326,Disposition of Fort Whitworth; authorizes Governor to convey to Petersburg Battlefields Foundation.,H0399,Pope Adams
HB327,"Commonwealth Health Reinsurance Program; extension of program, percentage goal to decrease premium.",H0269,Sullivan
HB328,Health insurance; essential health benefits benchmark plan selection.,H0269,Sullivan
HB329,Va. Residential Landlord & Tenant/Manufactured Home Lot Rental Acts; retaliatory conduct prohibited.,H0375,McClure
HB330,Signs & advertisements adjacent to certain highways; signs affixed to real property owned by WMATA.,H0375,McClure
HB331,Proceedings deferred; payment of costs.,H0375,McClure
HB332,"Teacher licensure; career and technical education or dual enrollment, three-year licenses.",H0266,Rasoul
HB333,History/soc. science SOL & curriculum Framework; revision of framework.,H0317,Helmer
HB334,Additional local sales and use tax to support schools; referendum.,H0266,Rasoul
HB335,"Independent Pharmacy Access and Resilience Pilot Program; established, report, sunset.",H0353,Anthony
HB336,"Fetal and Infant Mortality Review Team; established, penalty, report.",H0353,Anthony
HB337,"Community health workers; DMAS to evaluate, etc., to integrate into Medicaid managed care, report.",H0353,Anthony
HB338,"Service employees; authority of local governments, definition.",H0239,Lopez
HB339,"Employee protections; wage and hour, health and safety, and mining safety provisions.",H0239,Lopez
HB340,Migrant labor camp permits; removes expiration date.,H0374,Martinez
HB341,Plastic bag tax; distribution to towns.,H0374,Martinez
HB342,"Judicial Inquiry and Review Commission; magistrates, availability of complaint forms in courthouses.",H0374,Martinez
HB343,Helmets; wearing whenever riding/carried on skateboard or scooter or nonmotorized scooter.,H0374,Martinez
HB344,Property under common ownership; creation of easements.,H0374,Martinez
HB345,Real property tax; partial exemption for certain commercial and industrial structures.,H0350,McLaughlin
HB346,"Va. Freedom of Information Act; exclusion to application of chapter, public utility account numbers.",H0350,McLaughlin
HB347,Military and emergency laws; local emergency management plans.,H0350,McLaughlin
HB348,Residential Well Water Testing and Treatment Program and Fund; established.,H0350,McLaughlin
