Bill_id,Bill_description,topic_name,classification,qa_review,qa_notes
SB767,Virginia National Guard; financial assistance for tuition grants.,Armed Forces,Derived from LIS bill description,,
SB900,Real property tax; exemption surviving spouses of members of armed forces who died in line of duty.,Armed Forces,Derived from LIS bill description,,
SB766,"Museum of the Virginia National Guard; established, report.",Armed Forces,Derived from LIS bill description,,
SB895,Real property tax; surviving spouses of members of armed forces who died in line of duty.,Armed Forces,Derived from LIS bill description,,
HJ644,Commending the Substance Abuse and Addiction Recovery Alliance of Virginia.,Behavioral Health,Derived from LIS bill description,,
SB870,"Behavioral health services; correctional facilities, exchange of medical/mental health information.",Behavioral Health,Derived from LIS bill description,,
HJ441,Elementary/secondary schools; Va. Com. on youth to study policies to support student mental health.,Behavioral Health,Derived from LIS bill description,,
SR225,Commending the Fredericksburg City Public Schools Youth Mental Health Taskforce.,Behavioral Health,Derived from LIS bill description,,
SB768,"School-based mental and behavioral health services; DOE to survey local education agencies, report.",Behavioral Health,Derived from LIS bill description,,
SB841,"Opioid treatment programs; dispensing, medications from mobile units.",Behavioral Health,Derived from LIS bill description,,
SB790,Opioid antagonists; dispensing and administration by person acting on behalf of an organization.,Behavioral Health,Derived from LIS bill description,,
SB885,Office of the State Inspector General; behavioral health and developmental services; required reports.,Behavioral Health,Derived from LIS bill description,,
SB800,Budget Bill.,Budget and Appropriations,Derived from LIS bill description,,
SB903,"Dogs; sale and procurement by pet shops, pet shop regulations.",Business and Commerce,Derived from LIS bill description,,
HJ473,Commercial Waterman Safety Week.,Business and Commerce,Derived from LIS bill description,,
SJ441,Commending the Virginia Black Chamber of Commerce Foundation.,Business and Commerce,Derived from LIS bill description,,
SR259,Commending the Northern Virginia Chamber of Commerce.,Business and Commerce,Derived from LIS bill description,,
SB754,"Consumer Protection Act; prohibited practices, etc., reproductive or sexual health information.",Business and Commerce,Derived from LIS bill description,,
HR614,Commending the Virginia Asian Chamber of Commerce.,Business and Commerce,Derived from LIS bill description,,
SJ410,Commending the Northern Virginia Chamber of Commerce.,Business and Commerce,Derived from LIS bill description,,
SB839,Zoning; by-right multifamily development in areas zoned for commercial use.,Business and Commerce,Derived from LIS bill description,,
SB962,Va. Public Procurement Act; additional public works contract requirements.,Business and Commerce,Derived from LIS bill description,,
SB798,"Retail franchise agreements; governing law, competition restrictions.",Business and Commerce,Derived from LIS bill description,,
HR703,Commending Sam and Shelly Hunt.,Commendations and Commemorations,Derived from LIS bill description,,
SJ318,"Celebrating the life of Elvin Russell Cosby, Jr.",Commendations and Commemorations,Derived from LIS bill description,,
SJ321,Celebrating the life of Rafael Torrech III.,Commendations and Commemorations,Derived from LIS bill description,,
HR851,Commending the Larchmont-Edgewater Civic League.,Commendations and Commemorations,Derived from LIS bill description,,
HR592,Celebrating the life of Demont? Lamont Tillery.,Commendations and Commemorations,Derived from LIS bill description,,
HR869,"Commending Paul L. Wilson, Sr.",Commendations and Commemorations,Derived from LIS bill description,,
HR815,"Commending Judith Brooks-Buck, Ph.D.",Commendations and Commemorations,Derived from LIS bill description,,
HR695,Commending the Mary Star of the Sea Council 511 of the Knights of Columbus.,Commendations and Commemorations,Derived from LIS bill description,,
SJ442,Celebrating the life of Henry Mills Harris.,Commendations and Commemorations,Derived from LIS bill description,,
HJ607,Commending Thomas Heilman.,Commendations and Commemorations,Derived from LIS bill description,,
SJ270,Constitutional amendment; term limits for Lieutenant Governor & Attorney General (first reference).,Constitutional Amendments,Derived from LIS bill description,,
HJ452,Constitutional amendment; right to food choice (first reference).,Constitutional Amendments,Derived from LIS bill description,,
SJ247,Constitutional amendment; fundamental right to reproductive freedom (first reference).,Constitutional Amendments,Derived from LIS bill description,,
HJ450,Constitutional amendment; right to work (first reference).,Constitutional Amendments,Derived from LIS bill description,,
SJ249,Constitutional amendment; marriage between two adult persons.,Constitutional Amendments,Derived from LIS bill description,,
HJ457,"Constitutional amendment; tax exemption for motor vehicles owned for personal, noncommercial use.",Constitutional Amendments,Derived from LIS bill description,,
SJ271,Constitutional amendment (first reference); right to work.,Constitutional Amendments,Derived from LIS bill description,,
HJ501,"Constitutional amendment; Literary 5 Fund, exemption for certain asset forfeiture (first reference).",Constitutional Amendments,Derived from LIS bill description,,
HJ492,Constitutional amendment; right to work (first reference).,Constitutional Amendments,Derived from LIS bill description,,
SJ248,Constitutional amendment (first reference); qualifications of voters; right to vote; persons not entitled to vote.,Constitutional Amendments,Derived from LIS bill description,,
HJ476,"Judges; election in Circuit Court, General District Court etc.",Courts and Civil Law,Derived from LIS bill description,,
HJ760,"Judges; elections in circuit court, general district court, etc.",Courts and Civil Law,Derived from LIS bill description,,
HR803,Nominating persons to be elected to general district court judgeships.,Courts and Civil Law,Derived from LIS bill description,,
SR291,Nominating persons to be elected to general district court judgeships.,Courts and Civil Law,Derived from LIS bill description,,
SR205,Nominating persons to be elected to circuit court judgeships.,Courts and Civil Law,Derived from LIS bill description,,
SR290,Nominating persons to be elected to circuit court judgeships.,Courts and Civil Law,Derived from LIS bill description,,
SB894,Personal injury or death by wrongful act; liability of employer to vulnerable victims.,Courts and Civil Law,Derived from LIS bill description,,
SR207,Nominating persons to be elected to juvenile and domestic relations district court judgeships.,Courts and Civil Law,Derived from LIS bill description,,
HR472,Judges; nominations for election to circuit court.,Courts and Civil Law,Derived from LIS bill description,,
SB896,Court of Appeals; procedure on appeal; criminal cases.,Courts and Civil Law,Derived from LIS bill description,,
SB743,Reproductive health care services; prohibitions on extradition for certain crimes.,Criminal Justice,Derived from LIS bill description,,
SB985,Short-term rental properties; human trafficking awareness training.,Criminal Justice,Derived from LIS bill description,,
SB963,Discovery materials or evidence; allows accused to request the Commonwealth to copy or photograph.,Criminal Justice,Derived from LIS bill description,,
SB746,"Felony homicide; certain drug offenses, penalty.",Criminal Justice,Derived from LIS bill description,,
SB870,"Behavioral health services; correctional facilities, exchange of medical/mental health information.",Criminal Justice,Derived from LIS bill description,,
SB804,Limitation on prosecution of felony due to lapse of time after finding of probable cause; exception.,Criminal Justice,Derived from LIS bill description,,
SB936,"Decreasing probation period; criteria for mandatory reduction, effective clause, report.",Criminal Justice,Derived from LIS bill description,,
SB775,"Election offenses; dissemination of artificial audio or artificial visual media, etc., penalty.",Criminal Justice,Derived from LIS bill description,,
SB986,Assault and battery; Class 1 misdemeanor against sports official.,Criminal Justice,Derived from LIS bill description,,
SB966,Virginia Criminal Sentencing Commission; increase membership.,Criminal Justice,Derived from LIS bill description,,
SB976,Cloud Computing Cluster Infrastructure Grant Fund; performance agreement.,Data Centers,Derived from LIS bill description,,
SB960,Electric utilities; data center cost allocation.,Data Centers,Derived from LIS bill description,,
SB927,"Virginia Sports Tourism Grant Program; established, report.",Economic Development,Derived from LIS bill description,,
HR850,Commending the Forest Park High School robotics program.,Education,Derived from LIS bill description,,
SB768,"School-based mental and behavioral health services; DOE to survey local education agencies, report.",Education,Derived from LIS bill description,,
HR501,Commending the Tallwood High School boys' outdoor track and field team.,Education,Derived from LIS bill description,,
HJ589,Commending the Oscar Smith High School football team.,Education,Derived from LIS bill description,,
SB749,K-12 schools and institutions of higher education; student participation in women's sports; civil cause of action.,Education,Derived from LIS bill description,,
HJ431,Commending the Blacksburg High School girls' track and field team.,Education,Derived from LIS bill description,,
SB961,"Virginia Military Survivors and Dependents Education Program; annual report on eligibility, etc.",Education,Derived from LIS bill description,,
HJ725,Commending Halley Elementary School.,Education,Derived from LIS bill description,,
HJ482,Commending the Auburn High School golf team.,Education,Derived from LIS bill description,,
HJ756,Commending Arlington Public Schools' recipients of The Posse Foundation and QuestBridge scholarship.,Education,Derived from LIS bill description,,
HB1669,"Brodnax, Town of; amending charter, election of mayor.",Elections and Voting,Derived from LIS bill description,,
SJ248,Constitutional amendment (first reference); qualifications of voters; right to vote; persons not entitled to vote.,Elections and Voting,Derived from LIS bill description,,
SB991,Voter registration; time period for closing registration records before certain elections.,Elections and Voting,Derived from LIS bill description,,
HJ443,Consolidation and scheduling of general elections; joint subcommittee to study.,Elections and Voting,Derived from LIS bill description,,
SB813,Voter registration; regular periodic review of registration records.,Elections and Voting,Derived from LIS bill description,,
SB764,Elections; voter identification; identification containing a photograph required.,Elections and Voting,Derived from LIS bill description,,
SB935,"Chesapeake, City of; amending charter, dates of elections, etc.",Elections and Voting,Derived from LIS bill description,,
HJ500,Election Worker Appreciation Day.,Elections and Voting,Derived from LIS bill description,,
SJ253,General elections; joint subcommittee to study consolidation and scheduling.,Elections and Voting,Derived from LIS bill description,,
SB994,Elections; prohibited area within 100 feet.,Elections and Voting,Derived from LIS bill description,,
HJ694,Commending the Chesapeake Solar and Storage Association.,Energy and Utilities,Derived from LIS bill description,,
SB777,"Income-Qualified Energy Efficiency and Weatherization Task Force; established, definitions, report.",Energy and Utilities,Derived from LIS bill description,,
SB960,Electric utilities; data center cost allocation.,Energy and Utilities,Derived from LIS bill description,,
SB823,Electric utilities; construction of renewable energy facilities.,Energy and Utilities,Derived from LIS bill description,,
SB902,"Electric utilities; renewable portfolio standard program, deficiency payments.",Energy and Utilities,Derived from LIS bill description,,
SB893,"Renewable energy portfolio standard program; geothermal heating and cooling systems, report.",Energy and Utilities,Derived from LIS bill description,,
HJ448,Litter tax; Department of Environmental Quality to study tax policy options for reforming.,Environment and Conservation,Derived from LIS bill description,,
HR705,Commending the Rotary Club of Forest.,Environment and Conservation,Derived from LIS bill description,,
SB930,Aquatic fauna/water quality in Chesapeake Bay & its major tributaries; surface water intakes.,Environment and Conservation,Derived from LIS bill description,,
HR850,Commending the Forest Park High School robotics program.,Environment and Conservation,Derived from LIS bill description,,
SB928,State Police Officers' Retirement System; membership for Department of Wildlife Resources conservation police officers.,Environment and Conservation,Derived from LIS bill description,,
SB806,State Air Pollution Control Board; regulations; low-emissions and zero-emissions vehicle standards.,Environment and Conservation,Derived from LIS bill description,,
SB958,"Virginia Water Quality Improvement Fund; establishing a reserve fund within Fund, etc.",Environment and Conservation,Derived from LIS bill description,,
SB854,"Consumer Data Protection Act; social media platforms, addictive feed prohibited for minors.",Family and Children,Derived from LIS bill description,,
SJ369,Commending Children of the Shenandoah.,Family and Children,Derived from LIS bill description,,
HJ628,Commending Children's Home Society of Virginia.,Family and Children,Derived from LIS bill description,,
SJ382,Commending Children's Home Society of Virginia.,Family and Children,Derived from LIS bill description,,
SB805,Child support; updates amounts in the schedule of basic support obligations.,Family and Children,Derived from LIS bill description,,
SB846,Minor's records; access to records stored or accessible from a secure website.,Family and Children,Derived from LIS bill description,,
SB773,"Foster care; housing services, housing plan, report.",Family and Children,Derived from LIS bill description,,
SB750,"Vehicle operation; authorizing operation of motor vehicle by unlicensed minor, penalty.",Family and Children,Derived from LIS bill description,,
SJ388,Commending Voices for Virginias Children.,Family and Children,Derived from LIS bill description,,
SB801,Children's Services Act; changes to state pool of funds.,Family and Children,Derived from LIS bill description,,
SB938,Firearms-related offenses; mandatory minimum sentence; penalty.,Firearms,Derived from LIS bill description,,
SB837,Concealed handgun permits; minimum age requirement.,Firearms,Derived from LIS bill description,,
SB881,"Plastic firearms or receivers, unserialized firearms, etc.; transfer, etc., prohibited, penalties.",Firearms,Derived from LIS bill description,,
SB744,Firearm transfers to another person from a prohibited person.,Firearms,Derived from LIS bill description,,
SB891,"Firearms; five day waiting period, penalty.",Firearms,Derived from LIS bill description,,
SB848,"Firearms, certain; age requirement for purchase, penalty.",Firearms,Derived from LIS bill description,,
SB941,"Robbery; use of air or gas operated weapon, etc., penalty.",Firearms,Derived from LIS bill description,,
SB880,"Assault firearms; carrying in public areas prohibited, penalty.",Firearms,Derived from LIS bill description,,
SB849,Nonresident concealed handgun permits; time limit for issuance.,Firearms,Derived from LIS bill description,,
SB883,"Firearms; purchase, etc., assault and battery of family member or intimate partner, penalties.",Firearms,Derived from LIS bill description,,
SB889,Pari-mutuel wagering; historical horse racing; percentage retained for distribution.,"Gambling, Lotteries, Etc.",Derived from LIS bill description,,
SB864,Horse racing and pari-mutuel wagering; amends definition of breakage.,"Gambling, Lotteries, Etc.",Derived from LIS bill description,,
SB875,State pharmacy benefits manager; DMAS to select & contract with a third-party administrator to serve,Health and Healthcare,Derived from LIS bill description,,
SB904,Medical malpractice; limitation on recovery; certain actions.,Health and Healthcare,Derived from LIS bill description,,
HJ736,Commending Northern Virginia Veterinary Medical Association.,Health and Healthcare,Derived from LIS bill description,,
SB953,"Practical nursing programs, certain; transferability to registered nursing programs, etc.",Health and Healthcare,Derived from LIS bill description,,
SB791,"Practical nursing programs; common curriculum, transferability to registered nursing programs.",Health and Healthcare,Derived from LIS bill description,,
SB870,"Behavioral health services; correctional facilities, exchange of medical/mental health information.",Health and Healthcare,Derived from LIS bill description,,
SB743,Reproductive health care services; prohibitions on extradition for certain crimes.,Health and Healthcare,Derived from LIS bill description,,
SB739,"Certified registered nurse anesthetists; supervision, report.",Health and Healthcare,Derived from LIS bill description,,
SB954,Fertility preservation treatments; state plan for medical assistance services.,Health and Healthcare,Derived from LIS bill description,,
SB758,Remote monitoring services for pregnant and postpartum patients; reimbursement.,Health and Healthcare,Derived from LIS bill description,,
HJ678,Commending the Roanoke Higher Education Center.,Higher Education,Derived from LIS bill description,,
SR328,Commending the Roanoke Higher Education Center.,Higher Education,Derived from LIS bill description,,
HJ468,"Higher education institutions, public; JLARC to study cost efficiency.",Higher Education,Derived from LIS bill description,,
SB749,K-12 schools and institutions of higher education; student participation in women's sports; civil cause of action.,Higher Education,Derived from LIS bill description,,
HJ442,Affordable housing; study on tax policies enacted by the Commonwealth & political subdivisions.,Housing,Derived from LIS bill description,,
SB812,"Virginia Residential Landlord & Tenant Act; landlord remedies, noncompliance with rental agreement.",Housing,Derived from LIS bill description,,
SB975,Statewide housing targets; requires localities to increase their total housing stock.,Housing,Derived from LIS bill description,,
SB815,"Virginia Residential Landlord and Tenant Act; adverse action by landlord, tenant remedies.",Housing,Derived from LIS bill description,,
SB884,Virginia Residential Landlord and Tenant Act; early termination of rental agreement.,Housing,Derived from LIS bill description,,
SB830,"Eviction Diversion Pilot Program; name change, expiration repealed.",Housing,Derived from LIS bill description,,
SB949,"American Indians, Va. recognized tribes, and federally recognized tribes; definitions, sovereignty.",Indian Tribes,Derived from LIS bill description,,
HJ464,Cardiovascular disease screening coverage; Health Insurance Reform Commission to study.,Insurance,Derived from LIS bill description,,
SB780,Health insurance; coverage for contraceptive drugs and devices.,Insurance,Derived from LIS bill description,,
SB925,"Health insurance; carrier business practices, method of payment for claims.",Insurance,Derived from LIS bill description,,
HJ454,Automation of ports in the Commonwealth; JLARC to study economic and workforce impacts.,Labor and Employment,Derived from LIS bill description,,
SB943,"Income tax, state; subtraction for retirement income of certain federal employees.",Labor and Employment,Derived from LIS bill description,,
SB919,Private companies providing public transportation services; employee protections.,Labor and Employment,Derived from LIS bill description,,
HJ557,Commending the Hampton Roads Workforce Council.,Labor and Employment,Derived from LIS bill description,,
SB853,"Prevailing wage rate; apprenticeship requirements, RPS-eligible source work, penalties.",Labor and Employment,Derived from LIS bill description,,
SB788,Workers' compensation; injuries caused by repetitive and sustained physical stressors.,Labor and Employment,Derived from LIS bill description,,
SB897,"Overtime for certain employees; domestic service workers/live-in domestic workers, effective clause.",Labor and Employment,Derived from LIS bill description,,
SB755,"School safety; employment of school security officers, criteria.",Labor and Employment,Derived from LIS bill description,,
SB967,Minimum wage and overtime pay; warehouse distribution center employees and employers.,Labor and Employment,Derived from LIS bill description,,
SB920,Workers' compensation; presumption as to death or disability from throat cancer.,Labor and Employment,Derived from LIS bill description,,
HB1669,"Brodnax, Town of; amending charter, election of mayor.",Local Government,Derived from LIS bill description,,
HB2005,"Roanoke, City of; amending charter, appointment of director of real estate valuation.",Local Government,Derived from LIS bill description,,
HJ434,Coastal storm risk management studies; non-federal sponsor contributions by localities.,Local Government,Derived from LIS bill description,,
SB1176,"Roanoke, City of; amending charter, appointment of director of real estate valuation.",Local Government,Derived from LIS bill description,,
SB982,Casino gaming; eligible host localities.,Local Government,Derived from LIS bill description,,
SB935,"Chesapeake, City of; amending charter, dates of elections, etc.",Local Government,Derived from LIS bill description,,
SB836,"Poquoson, City of; amending charter, powers of city council.",Local Government,Derived from LIS bill description,,
SB873,"Richlands, Town of; amending charter, relates to ordinance.",Local Government,Derived from LIS bill description,,
HB2283,"Hopewell, City of; amending charter, duties of treasurer.",Local Government,Derived from LIS bill description,,
SB1444,"Manassas Park, City of; amending charter, city powers, etc.",Local Government,Derived from LIS bill description,,
HR474,Judges; nominations for election to juvenile and domestic relations district court.,Marriage and Domestic Relations,Derived from LIS bill description,,
HR804,Nominating persons to be elected to juvenile and domestic relations district court judgeships.,Marriage and Domestic Relations,Derived from LIS bill description,,
SR292,Nominating persons to be elected to juvenile and domestic relations district court judgeships.,Marriage and Domestic Relations,Derived from LIS bill description,,
SB747,Juvenile & domestic relations district courts; delinquent juveniles; social assessment & evaluation.,Marriage and Domestic Relations,Derived from LIS bill description,,
SR207,Nominating persons to be elected to juvenile and domestic relations district court judgeships.,Marriage and Domestic Relations,Derived from LIS bill description,,
SJ249,Constitutional amendment; marriage between two adult persons.,Marriage and Domestic Relations,Derived from LIS bill description,,
SB950,Virginia Retirement System; increased retirement allowance for certain judges.,"Pensions, Benefits, and Retirement",Derived from LIS bill description,,
SB867,Virginia Disposition of Unclaimed Property Act; administrator to exercise due diligence to locate owner.,Property and Conveyances,Derived from LIS bill description,,
SB996,Claims to unclaimed property; authority of administrator.,Property and Conveyances,Derived from LIS bill description,,
SB922,Claims to unclaimed property; authority of administrator.,Property and Conveyances,Derived from LIS bill description,,
SB808,"Resale Disclosure Act; resale certificate, responsibility for payment of insurance deductible.",Property and Conveyances,Derived from LIS bill description,,
SB934,Unclaimed property presumed abandoned; Vol. Firefighters'/Rescue Squad Workers' Service Award Fund.,Property and Conveyances,Derived from LIS bill description,,
SB776,"Law-enforcement officers, state and local; enforcement of federal traffic violations in Northern Va.",Public Safety,Derived from LIS bill description,,
SB934,Unclaimed property presumed abandoned; Vol. Firefighters'/Rescue Squad Workers' Service Award Fund.,Public Safety,Derived from LIS bill description,,
HJ507,Emergency Management Professionals Week.,Public Safety,Derived from LIS bill description,,
SB952,Fleeing from a law-enforcement officer; penalty.,Public Safety,Derived from LIS bill description,,
SB781,Retired or former law-enforcement officers; publication of personal information.,Public Safety,Derived from LIS bill description,,
SB926,Assault and battery; adds officers of Va. Marine Police to definition of law-enforcement officer.,Public Safety,Derived from LIS bill description,,
SB860,Workers' compensation benefits; disorders induced by law-enforcement officers and firefighters.,Public Safety,Derived from LIS bill description,,
SB946,Assault and battery; adds officers of Va. Marine Police to definition of law-enforcement officer.,Public Safety,Derived from LIS bill description,,
SB772,"Social Services, Department of; applications for public assistance, immigration status inquiry.",Social Services,Derived from LIS bill description,,
HJ447,"Statewide food desert mapping tool; Virginia Commission to End Hunger to establish, report.",Social Services,Derived from LIS bill description,,
SJ275,Confirming Governor's appointments; August 1.,State Government,Derived from LIS bill description,,
SJ286,Confirming Governors appointments; December 1.,State Government,Derived from LIS bill description,,
SJ274,Confirming Governor's appointments; October 1.,State Government,Derived from LIS bill description,,
SJ276,Confirming Governor's appointments; January 10.,State Government,Derived from LIS bill description,,
HJ436,Vehicle noise-monitoring devices; VSP to study feasibility and impact of implementing devices.,"Study Commissions, Committees, and Reports",Derived from LIS bill description,,
HJ460,Washington County; DCR to study feasibility of establishing state park in Holston River Watershed.,"Study Commissions, Committees, and Reports",Derived from LIS bill description,,
SB995,Department of Housing and Community Development; Task Force on Property Appraisal and Valuation Equity.,"Study Commissions, Committees, and Reports",Derived from LIS bill description,,
SB745,Therapeutic interchange; Bd. of Pharmacy to convene work group to review authority of pharmacists.,"Study Commissions, Committees, and Reports",Derived from LIS bill description,,
SB777,"Income-Qualified Energy Efficiency and Weatherization Task Force; established, definitions, report.","Study Commissions, Committees, and Reports",Derived from LIS bill description,,
SB774,Essential health benefits benchmark plan review; members of stakeholder work group.,"Study Commissions, Committees, and Reports",Derived from LIS bill description,,
HJ449,Hybrid and electric trucks; Department of Transportation to study options for taxation.,Taxes and Revenue,Derived from LIS bill description,,
SB763,Income tax deduction; tips.,Taxes and Revenue,Derived from LIS bill description,,
SB865,"Income tax, state; subtractions of military benefits.",Taxes and Revenue,Derived from LIS bill description,,
SB816,Real property tax; exemption for elderly and disabled individuals.,Taxes and Revenue,Derived from LIS bill description,,
SB789,Newborn and stillborn tax credit; establishes a refundable income tax credit.,Taxes and Revenue,Derived from LIS bill description,,
SB942,"Sales and use tax; exemption for aircraft components, extends sunset.",Taxes and Revenue,Derived from LIS bill description,,
SB971,"Income tax, state; creates second-chance employment tax credit.",Taxes and Revenue,Derived from LIS bill description,,
SB951,"Income tax, state; removes certain sunsets for standard deduction, etc.",Taxes and Revenue,Derived from LIS bill description,,
SB895,Real property tax; surviving spouses of members of armed forces who died in line of duty.,Taxes and Revenue,Derived from LIS bill description,,
SB782,"Income tax, state; deductions and earned income tax credit, removes sunset.",Taxes and Revenue,Derived from LIS bill description,,
SB905,"Internet Safety Advisory Council; established, Internet safety education program.",Technology and Data,Derived from LIS bill description,,
SB827,"Virginia Lottery; Internet gaming authorized, penalties.",Technology and Data,Derived from LIS bill description,,
HJ445,Persons with disabilities;  JLARC to study transportation options in rural areas.,Transportation,Derived from LIS bill description,,
HJ449,Hybrid and electric trucks; Department of Transportation to study options for taxation.,Transportation,Derived from LIS bill description,,
SB776,"Law-enforcement officers, state and local; enforcement of federal traffic violations in Northern Va.",Transportation,Derived from LIS bill description,,
SJ260,Transportation infrastructure; JLARC to study Department of Transportation's policies and funding.,Transportation,Derived from LIS bill description,,
