Bill_id,Bill_description,Patron_id,Patron_name
HB9,Animal control officers; additional training.,H0359,Ennis
HB360,"Public Instruction, Superintendent of; duties, fixed and actual school staffing ratios.",H0323,Simonds
HB363,"Candidates for office; disqualification, affidavit of eligibility.",H0301,Reid
HB366,Va. Nat'l Guard State Tuition Assistance Program; provisions relating to eligibility for grants.,H0301,Reid
HB369,"Sexual misconduct policies; SCHEV to convene task force on combating violence, civil penalty.",H0374,Martinez
HB372,Child Care Implementation and Substitute Employee Pool Grant Program; established.,H0374,Martinez
HB373,Financial institutions; reporting financial exploitation of elderly or vulnerable adults.,H0360,Feggans
HB375,Presidential electors; National Popular Vote Compact.,H0317,Helmer
HB386,Public schools; increase staffing ratios for specialized student support positions.,H0366,Hernandez
HB406,Clean Water Act; cooling water intakes at power plants.,H0336,Clark
HB408,Child Care Subsidy Program vendors; basis for periodic reimbursement.,H0366,Hernandez
HB420,Federal park operations; temporary funding.,H0177,Bulova
HB440,"Candidates for office; electronic filing of forms, petitions, and notifications.",H0314,Cole
HB447,Motor vehicle rental and peer-to-peer vehicle sharing tax; disposition.,H0348,Williams
HB485,"School boards; employee criminal history records checks and applications, penalty for noncompliance.",H0362,Garrett
HB486,Virginia Higher Education Scholarship Act Fund and Program; created and established.,H0362,Garrett
HB489,Fire Programs Fund; increases annual assessment used to fund.,H0362,Garrett
HB492,"Fire and emergency medical services apparatuses and equipment; procurement, report.",H0362,Garrett
HB499,Medicaid waivers; program rule modifications.,H0355,Cohen
HB500,Standards of Learning; Board of Education to develop all assessments using UDL principles.,H0355,Cohen
HB502,Nonbinary sex or gender; all forms or applications to offer any applicant the option to designate.,H0355,Cohen
HB510,Surplus line broker; any person required to be licensed as one shall not be subject to certain tax.,H0355,Cohen
HB512,Conservatorship; Judicial Council of Virginia to convene work group to study.,H0355,Cohen
HB524,Natural gas pipelines; permit applications.,H0371,Laufer
HB527,"Charitable Sports Raffle Act; established, penalties.",H0281,Krizek
HB528,"Property Owners' Assoc. Act; managed conservation landscaping, unreasonable restrictions prohibited.",H0281,Krizek
HB531,Workers' compensation; injuries caused by repetitive and sustained physical stressors.,H0281,Krizek
HB535,Early childhood care and education; comprehensive review of certain findings and recommendations.,H0370,Keys-Gamarra
HB540,Sales and use tax; exemption for food purchased for human consumption & essential personal hygiene.,H0308,McNamara
HB550,Adult adoptee; access to original birth certificate.,H0325,Walker
HB552,"Income tax, corporate; sourcing of sales other than sales of tangible personal property.",H0308,McNamara
HB556,"Judicial Inquiry and Review Commission; increases membership, training requirements, report.",H0219,Hope
HB563,"Classified instructional support staff; definition, procedure for adjusting grievances.",H0311,Askew
HB564,"Public schools; classified instructional support staff, competitive compensation, biennial review.",H0311,Askew
HB565,"Voter registration; registration of Department of Motor Vehicles customers, automatic update.",H0311,Askew
HB573,Student safety and discipline; certain reports to school principals and division superintendents.,H0365,Henson
HB582,Public high schools; each school board to employ at least one career coach.,H0323,Simonds
HB587,Unaccompanied minor housing program; DSS & DHCD to study implementation of program.,H0375,McClure
HB602,"Firearm Violence Intervention and Prevention, Virginia Center for, etc.; created.",H0284,Price
HB610,Health insurance; coverage for diabetes.,H0284,Price
HB620,Medical assistance services; payment for essential hygiene products.,H0284,Price
HB621,"Income tax, state; eligible low-income taxpayers to claim a refundable tax credit.",H0284,Price
HB627,"Early childhood care; Child Care Subsidy Program expansion, provision of free child care.",H0334,Bennett-Parker
HB628,Certificate of public need; hospitals licensed by DBHDS psychiatric beds.,H0073,Orrock
HB630,Virginia Retirement System; enhanced retirement benefits for 911 dispatchers.,H0335,Cherry
HB631,Virginia Law Officers' Retirement System; extends membership to emergency dispatchers.,H0335,Cherry
HB636,Siting of energy facilities; approval by the State Corporation Commission.,H0269,Sullivan
HB646,Zoning; certified recovery residence.,H0315,Coyner
HB658,Elections; allows for any local or constitutional office to be conducted by ranked choice voting.,H0314,Cole
HB662,"Towing; registration for tow truck drivers and obtaining Driver Authorization Document, penalty.",H0314,Cole
HB675,"Va. School for the Deaf & the Blind, Board of Visitors of the; authority to establish campus police.",H0321,Runion
HB676,School resource officers; establishment of minimum employment qualifications prohibited.,H0321,Runion
HB677,"Public Instruction, Superintendent of; employment of certified school library specialists.",H0323,Simonds
HB694,Absentee voting; counting ballots prior to the close of polls.,H0242,O'Quinn
HB696,"Recovery high schools; establishment, authorization in certain Superintendents' regions.",H0345,Tata
HB697,"Synthetic media; use in furtherance of crimes involving fraud, etc., report.",H0340,Maldonado
HB721,Local anti-rent gouging authority; civil penalty.,H0336,Clark
HB725,"Local government; powers, conveyance of real property, public hearing requirement.",H0247,Webert
HB742,"Elections, State Board of; appointment of Commissioner of Elections.",H0242,O'Quinn
HB745,"Mattress stewardship program; established, report, civil penalty.",H0371,Laufer
HB747,"Artificial Intelligence Developer Act; established, civil penalty.",H0340,Maldonado
HB762,Organ donation leave tax credit; establishes a nonrefundable credit for taxable years 2024-2028.,H0294,Delaney
HB765,"Parental rights; termination for alleged sexual abuse, petition filed by other parent.",H0294,Delaney
HB766,"Custody and visitation arrangements; best interests of the child, family history of abuse.",H0294,Delaney
HB774,Alcohol safety action program; local administrative fee.,H0208,Herring
HB775,"License plate reader systems; use by law-enforcement agencies, civil penalty.",H0208,Herring
HB787,Administrative Process Act; appeals of case decisions regarding benefits sought.,H0219,Hope
HB813,Parental access to minor's medical records; consent by certain minors to treatment.,H0330,Mundon King
HB837,Juvenile and domestic relations district court; recording of proceedings.,H0356,Cousins
HB842,School boards; expands availability of allowable alternatives for pupil transportation.,H0253,Austin
HB847,Appointment of counsel for accused; felonies punishable by a mandatory minimum term of confinement.,H0357,Davis
HB859,Human trafficking investigators; licensing by the Department of Criminal Justice Services.,H0348,Williams
HB863,Virginia Residential Property Disclosure Act; flood-related disclosures.,H0366,Hernandez
HB864,Health insurance; coverage for therapeutic day treatment services.,H0336,Clark
HB865,"Income tax, state; establishes a new tax bracket beginning on and after January 1, 2024.",H0366,Hernandez
HB878,Affordable housing; purchase of development rights.,H0177,Bulova
HB882,Students; Department of Education's model policy on cell phone use during instructional time.,H0358,Earley
HB884,Vehicle exhaust systems; inspection and administrative fee.,H0108,Watts
HB886,"Certified nursing facilities; administrative sanctions, facilities subject to minimum standards.",H0108,Watts
HB887,"Income tax, state; creates a new tax bracket.",H0108,Watts
HB889,"Retail Sales and Use tax; levies tax on following services: admissions, charges for recreation, etc.",H0108,Watts
HB890,Best interests of the child; assuring frequent and continuing contact with both parents.,H0358,Earley
HB897,"Small Business and Supplier Diversity, Department of; guidance to small businesses.",H0369,Kent
HB899,"Conflict of Interests Act, State and Local Government, etc.; deadline for public disclosure.",H0381,Srinivasan
HB900,Zoning; developmental and use of accessory dwelling units.,H0381,Srinivasan
HB907,"Voting equipment and systems; State Board approval process, printed receipt for cast ballot.",H0369,Kent
HB910,Data centers; energy usage.,H0381,Srinivasan
HB915,Highway Corporation Act of 1988; quarterly reports.,H0381,Srinivasan
HB920,License plate readers; penalties.,H0344,Shin
HB922,Common interest communities; associations may ban use of pesticides in or upon any common area.,H0344,Shin
HB923,"Dulles Toll Road & Dulles Greenway; DOT to review tolls, fines, and penalties.",H0381,Srinivasan
HB927,Substantial risk orders; recommendations for issuance.,H0344,Shin
HB941,"Absentee voting in person; voter satellite offices, etc.",H0344,Shin
HB951,"Local government; authority, service employees, transition period.",H0239,Lopez
HB952,C-PACE loans; removes an exclusion for residential dwellings and condominiums.,H0239,Lopez
HB954,VA Human Rights Act; prohibits discrimination on the basis of citizenship or immigration status.,H0239,Lopez
HB961,"Income tax, state; Virginia local journalism sustainability credits.",H0239,Lopez
HB969,Child tax credit; creates a credit for taxable years 2024 through 2028.,H0305,Tran
HB975,Electric utilities; notice required for customer return to service.,H0239,Lopez
HB976,Electric utilities; SCC to ensure energy policy at lowest reasonable cost.,H0366,Hernandez
HB977,"Student transportation safety issues, certain; expeditious resolution of complaints.",H0370,Keys-Gamarra
HB978,Advanced practice registered nurses and licensed certified midwives; joint licensing.,H0327,Willett
HB981,"Higher ed. institutions, public; tuition and financial aid, dependency override application form.",H0327,Willett
HB988,"Correctional facilities; behavioral health services in facilities, report.",H0351,Seibold
HB1013,Uniform Electronic Estate Planning Documents Act; permits electronic nontestamentary estate docs.,H0371,Laufer
HB1029,"Bath County and Augusta County School Boards; cost-savings agreements, requirements.",H0321,Runion
HB1031,"Legislature Modernization, Commission on; established, report.",H0334,Bennett-Parker
HB1033,"School boards, certain; cost of competing adjustments, eligibility.",H0267,Bloxom
HB1041,"Health insurance; cost-sharing, pharmacy benefits managers' compensation and duties, civil penalty.",H0242,O'Quinn
HB1049,Firefighters and emergency medical services personnel; recruitment and professional development.,H0313,Batten
HB1051,"Public education; dual enrollment and concurrent enrollment, high school graduation.",H0313,Batten
HB1054,Vegetative growth on certain property; maintenance.,H0206,Knight
HB1063,Nursing homes; application requirements.,H0327,Willett
HB1070,Southwest Regional Recreation Authority; powers.,H0224,Morefield
HB1078,Family caregiver; creates a nonrefundable income tax credit for taxable years 2024 through 2028.,H0266,Rasoul
HB1091,Public elementary schools; incorporation of career & technical education into curricula.,H0377,Oates
HB1092,"Uniform Statewide Building Code; amending Code, local building officials.",H0377,Oates
HB1093,Unfunded mandates; delay of implementation.,H0377,Oates
HB1096,Housing opportunity; increases tax credit.,H0382,Thomas
HB1101,Virginia Public Procurement Act; adds to definition of professional services.,H0329,Wiley
HB1121,"Online educational courses; DOC to establish, etc., an educational program for prisoners.",H0212,Carr
HB1122,Affordable housing; City of Richmond has authority to provide.,H0212,Carr
HB1124,Faith in Housing for the Commonwealth Act; construction of affordable housing.,H0212,Carr
HB1129,Grandparent; petition for visitation.,H0207,McQuinn
HB1185,Prescription Monitoring Program; overdose information.,H0327,Willett
HB1192,State debt collection; establishes statute of limitations.,H0342,"Scott, P.A."
HB1225,County manager plan of government; broadens powers available to counties.,H0219,Hope
HB1226,"Workers' compensation benefits; post-traumatic stress disorder incurred by firefighters, etc.",H0266,Rasoul
HB1233,"Unpaved secondary highway funds; improvements, enhanced maintenances, report.",H0367,Higgins
HB1235,Concealed handguns; protective orders.,H0383,Zehr
HB1239,Unaccompanied homeless youth; consent to surgical or medical care.,H0327,Willett
HB1253,Affordable dwelling unit ordinances; accessible units for persons with a physical disability.,H0375,McClure
HB1259,"Emergency medical services personnel; career fatigue and wellness program, report.",H0344,Shin
HB1263,Abolition of juvenile fines and fees; criminal offenses.,H0344,Shin
HB1273,"VA Public Procurement Act; additional public works contract requirements, delayed effective date.",H0281,Krizek
HB1280,Consumer protection; failure to honor service warranty.,H0366,Hernandez
HB1281,"Income tax, state; decreases certain taxes, increases amount of tax credit.",H0259,Fowler
HB1284,"Firefighters and emergency medical services; collective bargaining by providers, definitions.",H0311,Askew
HB1288,Public utilities; classification of customers.,H0247,Webert
HB1292,"Income tax, state; subtraction for professional firefighter pension.",H0311,Askew
HB1293,"Behavioral health and nursing; revision of policies that hinder, etc., health care workforce.",H0327,Willett
HB1295,"Drinking water; maximum contaminant levels, water treatment systems.",H0350,Campbell
HB1305,Virginia College Opportunity Endowment and Fund; created.,H0285,Hayes
HB1307,"Higher educational institutions, baccalaureate public; student application fees, report.",H0380,Reaser
HB1310,Zoning; enhanced civil penalties for violations involving nonpermitted commercial uses.,H0336,Clark
HB1311,"Divorce; cruelty, reasonable apprehension of bodily hurt, or willful desertion or abandonment.",H0336,Clark
HB1314,Political campaign advertisements; advertisements sponsored by a person or nonparty committee.,H0314,Cole
HB1316,"Va. State Crime Commission; benefits of violence interrupters, impact of barrier crime statutes.",H0173,Ward
HB1320,"Virginia Consumer Protection Act; prohibited practices, mandatory fees disclosure.",H0375,McClure
HB1322,Certified registered nurse anesthetist; elimination of supervision requirement.,H0172,Sickles
HB1344,"Employee protection; prohibited retaliation, prohibited nondisclosure & nondisparagement provisions.",H0207,McQuinn
HB1347,"Health insurance; coverage for autism spectrum disorder, cost-sharing requirements prohibited.",H0381,Srinivasan
HB1348,"Pharmaceutical Services, Office of; establishes in Department of General Services, report.",H0372,LeVere Bolling
HB1355,Information Technology Access Act; numerous organizational changes to Act.,H0305,Tran
HB1363,Critical infrastructure sectors; Director of Dept. of Energy to convene a work group to evaluate.,H0242,O'Quinn
HB1371,Virginia Public Procurement Act; local arbitration agreements.,H0264,Simon
HB1373,"Roanoke Higher Education Authority; powers and duties, specialized noncredit workforce training.",H0333,Ballard
HB1374,In-state tuition; eligibility for certain members of National Guard or Reserves of the Armed Forces.,H0333,Ballard
HB1375,Early childhood care and education; publicly funded providers.,H0361,Gardner
HB1385,"School boards; placement in alternative education programs, disclosure of certain information.",H0376,Milde
HB1387,Veterinary medicine; exceptions for care of animals injured in line of duty.,H0262,Leftwich
HB1390,"Human Resource Management, Department of; disclosure of certain information.",H0314,Cole
HB1393,Virginia Retirement System; return to work for law-enforcement officers.,H0368,Jones
HB1403,"Dam Safety, Flood Prevention, and Protection Assistance Fund; percentage of funds available.",H0371,Laufer
HB1405,Prisoners; Department of Corrections- and jailer-issued identification.,H0356,Cousins
HB1414,"Estate tax; reinstates tax for persons dying on and after July 1, 2024.",H0334,Bennett-Parker
HB1424,"Firearms; valid permit to purchase, penalties.",H0219,Hope
HB1434,Mattaponi Indian Tribe; DOF to convey tracts of land in Sandy Point State Forest to the Tribe.,H0238,Hodges
HB1438,Juvenile detention specialists; enhanced retirement benefits.,H0329,Wiley
HB1445,New College Institute; duties.,H0384,Phillips
HB1446,Real property tax; assessment of real property used for affordable housing.,H0315,Coyner
HB1463,"DGS, et al.; review of procurement process, employment services organizations.",H0371,Laufer
HB1470,"Income tax, state; deduction for union dues.",H0370,Keys-Gamarra
HB1479,"Health professions; universal licensure, requirements.",H0284,Price
HB1481,Grandparent; petition for visitation.,H0279,Freitas
HB1490,"Absentee voting in person; voter satellite offices, days and hours of operation.",H0380,Reaser
HB1492,Trauma-informed training and education; work group to study.,H0356,Cousins
HB1494,"Length of Stay Guidelines & Bon Air Juvenile Correctional Center; DJJ's work group to study, report.",H0356,Cousins
HB1495,Film and television industry; apprenticeship program.,H0356,Cousins
HB1497,Pharmacy technician profession; Board of Pharmacy to review framework.,H0327,Willett
HB1520,Virginia Institute of Marine Science; review the cumulative surface water intake effects.,H0369,Kent
HB1524,Mobile machinery and equipment; tax credit for purchase.,H0239,Lopez
HB1536,Retail Sales and Use Tax; exemption for certain baby products.,H0330,Mundon King
HB1537,"JLARC; Department of Human Resource Management's Grievance Procedure Manual, report.",H0361,Gardner
HB1546,Data centers; sales and use tax exemption for certain equipment or enabling software.,H0108,Watts
HB1548,"High school graduation; requires passing score on select questions from U.S. Naturalization, etc.",H0124,Ware
HB1549,"Vehicle operation; authorizing operation of motor vehicle by unlicensed minor, penalty.",H0363,Green
HB1550,Taxation; rate of interest.,H0308,McNamara
HB1551,"Income tax, state; removes sunset on elevated standard deduction amounts, etc.",H0308,McNamara
HB1552,Critical access hospitals; swing beds.,H0329,Wiley
HB1553,Court of Appeals; procedure on appeal; criminal cases.,H0348,Williams
HB1554,Funding for deputy sheriffs.,H0348,Williams
HB1555,Health Care Regulatory Sandbox Program established.,H0348,Williams
HB1556,Authority of Attorney General; criminal cases; criminal sexual assault and commercial sex trafficking committed against children.,H0348,Williams
HB1557,Short-term rentals; registration; civil penalty.,H0124,Ware
HB1558,Possession of retail tobacco products and hemp products intended for smoking by a person younger than 21 years of age prohibited; penalty.,H0376,Milde
HB1559,Renewal of concealed handgun permit; demonstrated competence.,H0348,Williams
HB1560,Sales and use tax; accommodations for transients.,H0308,McNamara
HB1561,Classification of land and improvements for tax purposes; localities.,H0308,McNamara
HB1562,Income tax deduction; tips.,H0363,Green
HB1563,Virginia Law Officers' Retirement System; emergency dispatchers.,H0335,Cherry
HB1564,Virginia Retirement System; enhanced retirement benefits for 911 dispatchers.,H0335,Cherry
HB1565,Governor; appointment of chief of staff and Governor's Secretaries.,H0363,Green
HB1566,Elections; absentee ballot security measures; watermark.,H0363,Green
HB1567,Virginia Economic Development Partnership Authority; operational plan submission.,H0329,Wiley
HB1568,Law-enforcement jurisdiction; Frederick County Sheriff's Dept. jurisdiction in/upon certain bldgs.,H0329,Wiley
HB1569,Fees for concealed handgun permits.,H0329,Wiley
HB1570,Virginia Public Procurement Act; project labor agreements.,H0329,Wiley
HB1571,Funeral directors; requirement to report certain statistics removed.,H0321,Runion
HB1572,"Cigars; TAX to collect data on number sold with sales price equal or greater than $1.50, report.",H0124,Ware
HB1573,Absentee voting; absentee voting in person; available beginning 10 days prior to election.,H0363,Green
HB1574,Absentee voting; absentee voting in person; available beginning 10 days prior to primary election.,H0363,Green
HB1575,Campaign fundraising; legislative sessions; enforcement of civil penalty.,H0335,Cherry
HB1576,Campaign fundraising; legislative sessions; enforcement of civil penalty.,H0335,Cherry
HB1577,Centralized local government reporting system; unfunded mandates on localities.,H0348,Williams
HB1578,Office of the State Inspector General; behavioral health and developmental services; required reports.,H0350,Campbell
HB1579,License taxes; local gas road improvement and Virginia Coalfield Economic Development Authority tax; sunset.,H0224,Morefield
HB1580,Tobacco Indemnification and Community Revitalization Fund; Tobacco Region Revolving Fund; eligible localities; Planning District 4.,H0333,Ballard
HB1581,Firearm safety device tax credit; defines commercial retailer.,H0333,Ballard
HB1582,"Pharmacists; collaborative agreements, drug therapy.",H0347,Wachsmann
HB1583,Threats to discharge a firearm within or at buildings or means of transportation; penalties.,H0333,Ballard
HB1584,Unlawful detainer actions; no rental agreement between owner and occupant; immediate execution of writ of possession.,H0333,Ballard
HB1585,"Weight loss and muscle building products, certain; selling or distributing to minors prohibited.",H0359,Ennis
HB1586,Claims; Michael Haas; compensation for wrongful inclusion on sex offender registry.,H0124,Ware
HB1587,Drug Control Act; Schedule I; Schedule IV.,H0347,Wachsmann
HB1588,Public utilities; rate increases during certain months prohibited.,H0348,Williams
HB1589,"Va. Parole Board; powers and duties, increases membership, voting requirements, etc., effective date",H0348,Williams
HB1590,Virginia Freedom of Information Act; exclusions; apprenticeship programs; minors.,H0369,Kent
HB1591,Tax credit; veterinary care for retired police canines.,H0369,Kent
HB1592,State Police Officers' Retirement System; membership for Department of Wildlife Resources conservation police officers.,H0369,Kent
HB1593,Minor's records; access to records stored or accessible from a secure website.,H0369,Kent
HB1594,Average teacher salary in the Commonwealth; national average.,H0336,Clark
HB1595,Virginia National Guard State Tuition Assistance Program; changes to eligibility criteria.,H0360,Feggans
HB1596,Department of Medical Assistance Services; state plan for medical assistance services; telemedicine services.,H0336,Clark
HB1597,"Firearms; secure storage, penalties.",H0360,Feggans
HB1598,First-time Homebuyer Grant Program; established.,H0314,Cole
HB1599,Certain end-of-course Standards of Learning assessments; elimination and replacement.,H0314,Cole
HB1600,Budget Bill.,H0227,Torian
HB1601,Siting of data centers; site assessment; high energy use facility.,H0382,Thomas
HB1602,Military leaves of absence for employees of the Commonwealth or political subdivisions; law-enforcement officers.,H0382,Thomas
HB1603,Commonwealth Rail Fund; funds applied to Shortline Railway Preservation and Development Fund.,H0321,Runion
HB1604,Certain school divisions; cost-savings agreements; requirements.,H0321,Runion
HB1605,Uniform Trust Code; qualified trustee; definition.,H0354,Callsen
HB1606,Claims to unclaimed property; authority of administrator.,H0366,Hernandez
HB1607,"Purchase, sale, transfer, etc., of assault firearms and certain ammunition feeding devices prohibited; penalties.",H0317,Helmer
HB1608,"Firearm industry members; creates standards of responsible conduct, civil liability.",H0317,Helmer
HB1609,Essential health benefits benchmark plan; Commission to consider coverage for infertility treatment.,H0317,Helmer
HB1610,"State debt collection; establishes statute of limitations, collection techniques.",H0314,Cole
HB1611,"Human Resource Management, Department of; hiring on the basis of direct experience.",H0314,Cole
HB1612,Board of Education; Child Care Subsidy Program; maximum reimbursement rate; vendors providing care outside of normal business hours.,H0366,Hernandez
HB1613,Virginia Military Survivors and Dependents Education Program; annual report on eligibility and usage required.,H0360,Feggans
HB1614,Postpartum doula care; DMAS to amend state plan for medical assistance services.,H0375,McClure
HB1615,Transportation infrastructure and projects; noise analysis.,H0360,Feggans
HB1616,"Offshore Wind Industry Workforce Program and Fund; established, report, sunset.",H0360,Feggans
HB1617,Homeless youth; no fees for issuance of certain government documents.,H0375,McClure
HB1618,Commissioner of Health; work group to study the occurrence of microplastics in the Commonwealth's public drinking water; report.,H0336,Clark
HB1619,"Va. Retirement System; enhanced retirement benefits for 911 dispatchers, delayed effective date.",H0336,Clark
HB1620,Department of Labor and Industry; work group to evaluate workplace violence.,H0336,Clark
HB1621,"Public institutions of higher education; governing boards; nonvoting, advisory representatives.",H0371,Laufer
HB1622,Firearm in unattended motor vehicle; civil penalty.,H0371,Laufer
HB1623,"Eviction Diversion Pilot Program; name change, expiration repealed.",H0375,McClure
HB1624,Consumer Data Protection Act; social media platforms; addictive feed prohibited for minors.,H0382,Thomas
HB1625,Minimum wage; farm laborers or farm employees; temporary foreign workers.,H0375,McClure
HB1626,"Public elementary & secondary school teachers; training activities, requirements & limitations.",H0382,Thomas
HB1627,"Criminal history; failure to provide discovery, dissemination of record information.",H0382,Thomas
HB1628,Fire insurance; assignment of claims prohibited.,H0370,Keys-Gamarra
HB1629,Health care records; providers shall provide one free copy of records stored in EHR upon request.,H0382,Thomas
HB1630,"Discovery; definition of ""electronic means.""",H0370,Keys-Gamarra
HB1631,Department of Social Services; foster care; new luggage; report.,H0370,Keys-Gamarra
HB1632,"Data Governance and Analytics, Office of; changes oversight of office to VITA.",H0285,Hayes
HB1633,Health insurance; coverage for speech therapy as a treatment for stuttering.,H0314,Cole
HB1634,Charter; City of Portsmouth.,H0285,Hayes
HB1635,Certified nurse midwives; licensed certified midwives; independent practice; organized medical staff.,H0314,Cole
HB1636,Civil immunity; health care professionals; professional programs related to career fatigue and wellness.,H0219,Hope
HB1637,Opioid antagonists; dispensing and administration by person acting on behalf of an organization.,H0219,Hope
HB1638,"Va. Residential Landlord and Tenant Act; affordable housing, criminal record screening model policy.",H0285,Hayes
HB1639,"Health insurance; tobacco surcharge, removes sunset.",H0219,Hope
HB1640,Virginia Disposition of Unclaimed Property Act; administrator to exercise due diligence to locate owner.,H0285,Hayes
HB1641,State plan for medical assistance services and health insurance; pediatric autoimmune neuropsychiatric disorders associated with streptococcal infections and pediatric acute-onset neuropsychiatric syndrome.,H0219,Hope
HB1642,"Artificial intelligence-based tool; definition, use of tool.",H0285,Hayes
HB1643,"Traffic violations, certain; dismissal for proof of compliance with law.",H0285,Hayes
HB1644,"Wills, trusts, and fiduciaries; Consumer Price Index adjustments.",H0219,Hope
HB1645,"Chesapeake, City of; amending charter, dates of elections, etc.",H0285,Hayes
HB1646,Practice of chiropractic; amends definition.,H0285,Hayes
HB1647,Board of Medicine; licensure of anesthesiologist assistants.,H0285,Hayes
HB1648,Office of Data Governance and Analytics; oversight; Chief Data Officer; duties.,H0285,Hayes
HB1649,Board of Medicine; continuing education; unconscious bias and cultural competency.,H0285,Hayes
HB1650,Virginia Antiterrorism Act established; civil penalties.,H0333,Ballard
HB1651,"Social Services, Department of; applications for public assistance, immigration status inquiry.",H0333,Ballard
HB1652,Elections; voter identification containing photograph required; who may register up to and including the day of the election; absentee ballot application requirements; absentee voting in person availability; return of absentee ballots.,H0328,Wyatt
HB1653,Real Estate Board; regulations related to fees charged to a licensee.,H0382,Thomas
HB1654,"Short-term rental properties; definitions, human trafficking awareness training.",H0317,Helmer
HB1655,"Alcoholic beverage control; limitation on manufacturers, etc., restrictions on employment.",H0317,Helmer
HB1656,Public secondary schools; interscholastic athletics; certain recruitment policies and practices prohibited.,H0317,Helmer
HB1657,Voter registration; regular periodic review of registration records.,H0365,Henson
HB1658,Board of Housing and Community Development; USBC; stakeholder group to evaluate temperature regulation.,H0370,Keys-Gamarra
HB1659,Local Foundation and Soil Management Fund.,H0365,Henson
HB1660,"Trigger activator; definition does not include semi-automatic replacement trigger, etc., penalty.",H0368,Jones
HB1661,Deferred or installment payment agreements; universal minimum payments.,H0368,Jones
HB1662,Sale and distribution of plastic carryout bags by grocery stores prohibited; civil penalty.,H0368,Jones
HB1663,Public schools; guidelines and policies on student-athlete extreme heat safety and protection.,H0368,Jones
HB1664,Photo speed monitoring devices; placement and operation by certain localities.,H0368,Jones
HB1665,"Fines, restitution, forfeiture, penalties, other costs; criminal and traffic cases; itemized statement.",H0368,Jones
HB1666,Photo speed monitoring devices; location.,H0368,Jones
